,testGroup,device,operatingSystem,userAgentClass,browser,browserVersion,screenWidth,screenHeight,users,sessions,pis,accPis,greenLcpPis,yellowLcpPis,redLcpPis,addToCartEvents,conversions,browserGrouped,osGrouped
9736,B,Desktop,Mac OS,Browser,Chrome,105,1440,900,2,2,8,0,4,2,2,1,1,Chrome,Mac OS
9737,A,Mobile,Android,Browser Webview,Chrome Webview,115.0.5790.138,721,1545,1,1,8,1,2,1,3,1,1,Chrome Webview,Android
9738,B,Mobile,Android,Browser,SamsungBrowser,22.0,1538,2152,1,1,8,0,5,3,0,0,0,SamsungBrowser,Android
9739,B,Desktop,Windows NT,Browser,Opera,102.0.0.0,2560,1600,4,6,8,0,2,1,2,0,0,Other,Windows NT
9740,A,Desktop,Mac OS,Browser,Safari,16.4.1,1920,1080,4,5,8,2,0,0,0,0,0,Safari,Mac OS
9741,B,Mobile,Android,Browser Webview,Chrome Webview,109.0.5414.85,1080,2400,5,5,8,0,7,0,0,0,0,Chrome Webview,Android
9742,B,Mobile,Android,Browser,Chrome,111,1080,2280,5,6,8,0,4,4,0,0,0,Chrome,Android
9743,A,Desktop,Mac OS,Browser,Safari,16.2,4096,2304,2,2,8,2,0,0,0,2,1,Safari,Mac OS
9744,A,Mobile,Android,Browser,Chrome,116,1442,3202,4,5,8,4,3,2,2,0,0,Chrome,Android
9745,A,Desktop,Windows NT,Browser,Edge,118,2880,1920,1,1,8,2,1,2,4,1,1,Edge,Windows NT
9746,B,Mobile,Android,Browser Webview,Chrome Webview,90.0.4430.210,1080,2340,6,6,8,0,3,3,2,0,0,Chrome Webview,Android
9747,B,Tablet,Android,Browser,Chrome,115,1134,1814,1,1,8,0,1,2,4,0,0,Chrome,Android
9748,B,Mobile,Android,Browser Webview,Chrome Webview,105.0.5195.136,1081,2520,1,1,8,0,6,0,0,0,0,Chrome Webview,Android
9749,A,Desktop,Windows NT,Browser,Chrome,99.0.4844.51,1366,768,2,2,8,0,2,2,4,1,1,Chrome,Windows NT
9750,B,Mobile,Android,Browser,Chrome,117,1080,2260,5,5,8,0,2,1,2,0,0,Chrome,Android
9751,B,Desktop,Windows NT,Browser,Edge,116,1441,811,1,1,8,0,4,1,1,1,0,Edge,Windows NT
9752,A,Mobile,Android,Browser Webview,Chrome Webview,115.0.5790.166,720,1520,8,8,8,0,1,2,2,0,0,Chrome Webview,Android
9753,A,Desktop,Linux,Browser,Chrome,117,1769,2210,3,3,8,5,7,1,0,0,0,Chrome,Linux
9754,A,Mobile,Android,Browser,Chrome,102,720,1280,3,3,8,2,3,0,3,0,0,Chrome,Android
9755,A,Desktop,Linux,Browser,Chrome,117,1442,3202,2,2,8,6,7,0,0,0,0,Chrome,Linux
9756,A,Tablet,Android,Browser,Chrome,117,1753,2801,3,4,8,0,0,2,5,1,0,Chrome,Android
9757,B,Desktop,Linux,Browser,Chrome,117,720,1640,1,4,8,0,4,3,1,0,0,Chrome,Linux
9758,B,Mobile,Android,Browser Webview,Chrome Webview,115.0.5790.166,1081,2220,4,4,8,0,3,4,1,0,0,Chrome Webview,Android
9759,B,Desktop,Windows NT,Browser,Edge,109,1024,576,1,1,8,0,2,1,0,0,0,Edge,Windows NT
9760,A,Mobile,Android,Browser,Chrome,117,1406,3123,1,1,8,3,5,0,2,0,0,Chrome,Android
9761,A,Mobile,Android,Browser,Chrome,83.0.4103.106,1080,1920,2,3,8,4,3,3,2,0,0,Chrome,Android
9762,B,Desktop,Mac OS,Browser,Safari,13.1.3,1366,768,1,1,8,0,0,0,0,1,0,Safari,Mac OS
9763,B,Mobile,Android,Browser,Chrome,77.0.3865.116,1080,2340,3,3,8,0,3,1,1,0,0,Chrome,Android
9764,B,Mobile,Android,Browser,Chrome,86.0.4240.198,720,1640,1,3,8,0,3,1,2,0,0,Chrome,Android
9765,B,Mobile,Android,Browser Webview,Chrome Webview,100.0.4896.58,1080,2340,2,2,8,0,4,2,1,0,0,Chrome Webview,Android
9766,A,Mobile,Android,Browser Webview,Chrome Webview,111.0.5563.115,1080,2340,4,4,8,3,5,1,2,0,0,Chrome Webview,Android
9767,B,Desktop,Windows NT,Browser,Chrome,98.0.4758.80,1280,1024,1,1,8,0,4,2,2,1,0,Chrome,Windows NT
9768,A,Desktop,Mac OS,Browser,Safari,15.6.1,1170,2532,1,1,8,4,0,0,0,0,0,Safari,Mac OS
9769,A,Mobile,Android,Browser,Chrome,110,721,1561,4,5,8,3,1,2,4,0,0,Chrome,Android
9770,B,Desktop,Mac OS,Browser,Safari,14.1.2,1366,768,3,3,8,0,0,0,0,0,0,Safari,Mac OS
9771,B,Mobile,Android,Mobile App,Chrome Webview,8.0.42.2460,1080,2400,4,4,8,0,6,0,0,0,0,Chrome Webview,Android
9772,A,Mobile,Android,Browser,Chrome,117,1442,3040,6,6,8,2,7,0,0,0,0,Chrome,Android
9773,A,Mobile,Android,Browser Webview,Chrome Webview,97.0.4692.98,720,1650,7,7,8,0,0,4,0,0,0,Chrome Webview,Android
9774,A,Tablet,Android,Browser,Chrome,117,2770,4436,1,1,8,3,7,0,1,0,0,Chrome,Android
9775,B,Mobile,iOS,Browser,Chrome iOS,112.0.5615.70,960,2079,2,3,8,0,0,0,0,0,0,Chrome iOS,iOS
9776,A,Mobile,Android,Browser,Chrome,72.0.3626.121,1080,2280,2,2,8,5,0,0,0,1,0,Chrome,Android
9777,A,Mobile,Android,Browser,SamsungBrowser,22.0,811,1801,2,2,8,3,5,1,0,0,0,SamsungBrowser,Android
9778,B,Desktop,Mac OS,Browser,Chrome,109,2560,1600,2,3,8,0,4,2,0,0,0,Chrome,Mac OS
9779,A,Desktop,Mac OS,Browser,Chrome,113,3200,2000,1,1,8,0,5,1,1,1,1,Chrome,Mac OS
9780,B,Mobile,Android,Browser,Chrome,117,1543,3345,1,1,8,0,3,1,1,1,0,Chrome,Android
9781,B,Mobile,Android,Browser,Chrome,106,720,1480,1,1,8,0,0,2,6,0,0,Chrome,Android
9782,B,Mobile,Android,Browser,Chrome,103,1080,2403,2,4,8,0,3,2,1,0,0,Chrome,Android
9783,B,Mobile,Android,Browser,Chrome,75.0.3770.101,1081,2220,1,1,8,0,0,0,0,0,0,Chrome,Android
9784,A,Desktop,Mac OS,Browser,Chrome,118,3456,2234,2,3,8,2,1,0,1,2,0,Chrome,Mac OS
9785,B,Desktop,Mac OS,Browser,Chrome,103,4096,2304,4,4,8,0,4,2,0,0,0,Chrome,Mac OS
9786,A,Desktop,Mac OS,Browser,Safari,15.2,2048,2732,3,3,8,2,0,0,0,0,0,Safari,Mac OS
9787,A,Tablet,iOS,Browser,Chrome iOS,59.0.3071.84,1250,920,8,8,8,0,0,0,3,0,0,Chrome iOS,iOS
9788,A,Mobile,Android,Browser Webview,Chrome Webview,88.0.4324.93,720,1601,2,2,8,4,5,0,1,0,0,Chrome Webview,Android
9789,B,Desktop,Mac OS,Browser,Chrome,108,1920,1080,2,4,8,0,1,3,3,0,0,Chrome,Mac OS
9790,B,Mobile,Android,Browser,Chrome,99.0.4844.58,1081,2341,2,2,8,0,3,1,1,0,0,Chrome,Android
9791,B,Mobile,Android,Browser Webview,Chrome Webview,114.0.5735.196,1080,2376,7,7,8,0,7,0,1,0,0,Chrome Webview,Android
9792,B,Desktop,Windows NT,Browser,Chrome,109,2520,1680,1,1,8,0,7,1,0,0,0,Chrome,Windows NT
9793,A,Desktop,Windows NT,Browser,Chrome,117,1927,944,1,1,8,6,4,1,0,0,0,Chrome,Windows NT
9794,B,Desktop,Windows NT,Browser,Chrome,117,2816,1760,4,4,8,0,1,3,2,1,0,Chrome,Windows NT
9795,B,Desktop,Mac OS,Browser,Safari,16.0,3024,1964,6,6,8,0,0,0,0,0,0,Safari,Mac OS
9796,A,Mobile,Android,Browser,Chrome,117,1520,720,8,8,8,0,1,2,3,0,0,Chrome,Android
9797,A,Desktop,Windows NT,Browser,Chrome,117,1367,768,5,5,8,4,2,1,4,0,0,Chrome,Windows NT
9798,A,Desktop,Windows NT,Browser,Chrome,109,910,512,1,3,8,4,3,1,4,1,0,Chrome,Windows NT
9799,A,Mobile,Android,Browser Webview,Chrome Webview,78.0.3904.108,1080,2317,3,4,8,4,2,2,1,0,0,Chrome Webview,Android
9800,B,Desktop,Chrome OS,Browser,Chrome,92.0.4515.157,1920,1080,1,1,8,0,2,1,3,0,0,Chrome,Other
9801,A,Desktop,Chrome OS,Browser,Chrome,112,1365,767,4,4,8,1,2,0,5,1,0,Chrome,Other
9802,A,Mobile,Android,Browser Webview,Chrome Webview,113.0.5672.162,1080,2410,6,7,8,2,2,2,2,0,0,Chrome Webview,Android
9803,A,Mobile,Android,Browser Webview,Chrome Webview,116.0.0.0,1080,2318,5,6,8,2,6,1,0,0,0,Chrome Webview,Android
9804,B,Mobile,iOS,Browser,Chrome iOS,110.0.5481.114,750,1334,5,6,8,0,0,0,0,0,0,Chrome iOS,iOS
9805,A,Mobile,Android,Browser,Chrome,115,1189,2574,6,7,8,2,2,2,2,0,0,Chrome,Android
9806,A,Mobile,Android,Browser,Chrome,90.0.4430.210,720,1601,4,5,8,1,0,1,2,0,0,Chrome,Android
9807,A,Desktop,Mac OS,Browser,Firefox,115.0,3024,1964,6,6,8,0,0,0,0,0,0,Firefox,Mac OS
9808,A,Mobile,iOS,Browser,Opera Touch,4.3.1,1125,2436,4,5,8,1,0,0,0,0,0,Other,iOS
9809,A,Mobile,Android,Browser Webview,Chrome Webview,110.0.5481.154,1080,2400,5,5,8,2,6,1,0,0,0,Chrome Webview,Android
9810,A,Mobile,iOS,Browser,Safari,16.5.1,1125,2001,1,2,8,3,0,0,0,0,0,Safari,iOS
9811,B,Desktop,Linux,Browser,Chrome,116,1360,768,2,2,8,0,6,1,1,0,0,Chrome,Linux
9812,B,Desktop,Linux,Browser,HeyTapBrowser,45.9.3.1.1,1080,2400,1,1,8,0,0,0,2,0,0,Other,Linux
9813,B,Mobile,Android,Browser,Chrome,113,721,1600,3,4,8,0,1,2,1,0,0,Chrome,Android
9814,B,Mobile,Android,Browser,Firefox,118.0,1080,2314,4,5,8,0,0,0,0,0,0,Firefox,Android
9815,B,Mobile,Android,Browser,Chrome,88.0.4324.141,1080,2280,1,1,8,0,2,1,3,1,1,Chrome,Android
9816,B,Desktop,Chrome OS,Browser,Chrome,94.0.4606.128,1920,1080,3,3,8,0,2,3,2,0,0,Chrome,Other
9817,B,Mobile,iOS,Browser,Safari,16.2,1125,2001,4,5,8,0,0,0,0,0,0,Safari,iOS
9818,A,Mobile,Android,Browser,SamsungBrowser,22.0,1443,3041,7,7,8,2,4,1,3,1,0,SamsungBrowser,Android
9819,A,Mobile,Android,Browser Webview,Chrome Webview,104.0.5112.97,1081,2341,3,4,8,3,4,2,2,0,0,Chrome Webview,Android
9820,A,Desktop,Mac OS,Browser,Chrome,115,2704,1756,2,2,8,4,1,0,1,0,0,Chrome,Mac OS
9821,B,Mobile,Android,Browser,Chrome,100.0.4896.88,1080,2220,1,2,8,0,1,0,6,1,1,Chrome,Android
9822,B,Mobile,Android,Browser,Chrome,112,1080,2246,3,4,8,0,4,1,1,0,0,Chrome,Android
9823,B,Desktop,Windows NT,Browser,Firefox,118.0,2400,1600,1,2,8,0,0,0,0,0,0,Firefox,Windows NT
9824,B,Tablet,Android,Browser,Chrome,114,800,1280,2,4,8,0,3,2,2,0,0,Chrome,Android
9825,A,Desktop,Mac OS,Browser,Safari,12.1.2,1366,768,5,5,8,1,0,0,0,0,0,Safari,Mac OS
9826,A,Mobile,Android,Browser,Chrome,113,649,1440,1,1,8,2,0,0,5,0,0,Chrome,Android
9827,A,Mobile,Android,Browser Webview,Chrome Webview,117.0.0.0,1440,3218,4,5,8,4,6,1,1,0,0,Chrome Webview,Android
9828,B,Mobile,Android,Browser,Chrome,109,1080,2406,3,3,8,0,5,1,1,0,0,Chrome,Android
9829,A,Desktop,Linux,Browser,Chrome,117,1080,2280,4,5,8,1,7,0,0,0,0,Chrome,Linux
9830,A,Desktop,Windows NT,Browser,Opera,101.0.0.0,1600,900,1,1,8,8,2,2,0,0,0,Other,Windows NT
9831,B,Desktop,Windows NT,Browser,Chrome,92.0.4515.131,1920,1080,4,4,8,0,3,4,1,0,0,Chrome,Windows NT
9832,A,Desktop,Windows NT,Browser,Chrome,113,2560,1600,1,1,8,1,3,3,2,0,0,Chrome,Windows NT
9833,B,Tablet,iOS,Browser,Chrome iOS,114.0.5735.124,1536,2048,2,3,8,0,0,0,0,0,0,Chrome iOS,iOS
9834,A,Mobile,Android,Browser Webview,Chrome Webview,114.0.5735.196,720,1440,5,5,8,2,2,3,2,0,0,Chrome Webview,Android
9835,B,Mobile,Android,Browser Webview,Chrome Webview,117.0.0.0,800,1280,8,8,8,0,0,2,3,0,0,Chrome Webview,Android
9836,A,Desktop,Windows NT,Browser,Edge,117,1200,675,4,5,8,1,4,3,0,0,0,Edge,Windows NT
9837,A,Desktop,Linux,Browser,Chrome,117,1080,2316,1,2,8,3,4,2,2,1,0,Chrome,Linux
9838,A,Mobile,Android,Browser,Chrome,97.0.4692.98,720,1612,7,7,8,1,1,4,2,0,0,Chrome,Android
9839,B,Mobile,Android,Browser,Chrome,99.0.4844.88,1080,2460,2,2,8,0,6,1,1,0,0,Chrome,Android
9840,B,Mobile,Android,Browser,Chrome,110,721,1561,3,4,8,0,0,0,5,0,0,Chrome,Android
9841,B,Mobile,Android,Browser,Opera Mobile,77.4.4095.74896,721,1545,1,2,8,0,3,1,2,0,0,Other,Android
9842,B,Tablet,iOS,Browser,Safari,17.0.1,2048,2732,7,7,8,0,0,0,0,0,0,Safari,iOS
9843,A,Mobile,Android,Browser Webview,Chrome Webview,115.0.5790.168,1081,2401,7,7,8,1,4,1,1,0,0,Chrome Webview,Android
9844,B,Desktop,Mac OS,Browser,Safari,16.3,2560,1080,1,1,8,0,0,0,0,0,0,Safari,Mac OS
9845,A,Desktop,Mac OS,Browser,Chrome,114,3440,1440,4,4,8,1,6,0,1,0,0,Chrome,Mac OS
9846,B,Mobile,Android,Browser Webview,Chrome Webview,99.0.4844.73,1081,2462,1,2,8,0,2,1,2,1,0,Chrome Webview,Android
9847,B,Mobile,Android,Browser,Chrome,110,720,1480,3,5,8,0,2,2,1,0,0,Chrome,Android
9848,B,Desktop,Windows NT,Browser,Chrome,112,3840,2160,2,2,8,0,2,4,2,0,0,Chrome,Windows NT
9849,B,Mobile,Android,Browser Webview,Chrome Webview,116.0.0.0,1081,2640,5,5,8,0,6,0,2,1,0,Chrome Webview,Android
9850,A,Desktop,Windows NT,Browser,Chrome,117,2745,1831,1,2,8,2,3,2,0,0,0,Chrome,Windows NT
9851,A,Desktop,Windows NT,Browser,Edge,118,2520,1680,1,2,8,1,5,1,1,0,0,Edge,Windows NT
9852,B,Mobile,Android,Browser Webview,Chrome Webview,114.0.5735.131,1081,2341,3,3,8,0,6,2,0,0,0,Chrome Webview,Android
9853,B,Desktop,Windows NT,Browser,Firefox,117.0,2560,1600,1,1,8,0,0,0,0,1,1,Firefox,Windows NT
9854,B,Mobile,Android,Browser,SamsungBrowser,16.2,721,1561,2,5,8,0,1,1,1,1,0,SamsungBrowser,Android
9855,B,Mobile,iOS,Browser,Firefox iOS,118,1284,2778,6,6,8,0,0,0,0,1,0,Other,iOS
9856,B,Desktop,Mac OS,Browser,Safari,14.1.1,3360,2100,1,2,8,0,0,0,0,0,0,Safari,Mac OS
9857,B,Mobile,Android,Browser,Chrome,90.0.4430.91,1081,2341,4,4,8,0,3,0,5,1,0,Chrome,Android
9858,A,Desktop,Mac OS,Browser,Safari,17.0,2428,1620,2,5,8,0,0,0,0,0,0,Safari,Mac OS
9859,A,Desktop,Mac OS,Browser,Chrome,101,2880,1800,2,4,8,3,5,0,3,3,0,Chrome,Mac OS
9860,B,Mobile,Android,Browser,SamsungBrowser,22.0,960,2616,4,5,8,0,7,0,1,0,0,SamsungBrowser,Android
9861,B,Mobile,iOS,Browser,Chrome iOS,112.0.5615.70,1125,2436,3,5,8,0,0,0,0,0,0,Chrome iOS,iOS
9862,B,Mobile,Android,Browser,Chrome,102,1080,2161,2,3,8,0,4,0,1,0,0,Chrome,Android
9863,A,Mobile,Android,Browser Webview,Chrome Webview,113.0.5672.77,1080,2401,1,1,8,5,8,0,0,0,0,Chrome Webview,Android
9864,A,Mobile,Android,Browser,Yandex Browser,23.9.3.87.00,720,1600,5,5,8,2,1,4,3,0,0,Other,Android
9865,B,Mobile,Android,Browser Webview,Chrome Webview,95.0.4638.74,1080,2400,7,7,8,0,1,3,4,0,0,Chrome Webview,Android
9866,A,Desktop,Chrome OS,Browser,Chrome,117,2559,1439,1,1,8,1,6,0,2,0,0,Chrome,Other
9867,A,Tablet,iOS,Browser,Chrome iOS,116.0.5845.118,1620,2160,4,5,8,1,0,0,0,0,0,Chrome iOS,iOS
9868,B,Desktop,Windows NT,Browser,Edge,115,1280,1024,1,1,8,0,4,2,0,3,1,Edge,Windows NT
9869,A,Mobile,Android,Browser Webview,Chrome Webview,71.0.3578.99,1220,1280,8,8,8,0,2,1,5,0,0,Chrome Webview,Android
9870,B,Mobile,iOS,Browser,Chrome iOS,102.0.5005.87,1125,2436,4,5,8,0,0,0,0,1,0,Chrome iOS,iOS
9871,A,Mobile,Android,Browser Webview,Chrome Webview,117.0.0.0,1601,721,8,8,8,0,0,2,1,0,0,Chrome Webview,Android
9872,B,Mobile,Android,Browser Webview,Chrome Webview,117.0.0.0,1202,2640,1,1,8,0,7,0,0,0,0,Chrome Webview,Android
9873,B,Desktop,Mac OS,Browser,Chrome,112,1920,1080,3,4,8,0,3,2,1,0,0,Chrome,Mac OS
9874,B,Mobile,Android,Browser,Chrome,111,2400,1080,5,5,8,0,1,1,1,0,0,Chrome,Android
9875,A,Mobile,Android,Browser,Chrome,114,720,1561,4,4,8,1,0,0,2,0,0,Chrome,Android
9876,A,Tablet,Android,Browser,SamsungBrowser,21.0,800,1280,4,5,8,2,1,2,3,0,0,SamsungBrowser,Android
9877,A,Mobile,Android,Browser Webview,Chrome Webview,101.0.4951.61,1081,2281,3,4,8,5,8,0,0,0,0,Chrome Webview,Android
9878,A,Desktop,Windows NT,Browser,Chrome,105,1443,3090,1,2,8,2,7,1,0,1,0,Chrome,Windows NT
9879,B,Desktop,Windows NT,Browser,Chrome,108,1727,971,1,2,8,0,3,4,0,0,0,Chrome,Windows NT
9880,A,Mobile,Android,Browser Webview,Chrome Webview,101.0.4951.61,721,1601,4,4,8,2,1,4,3,0,0,Chrome Webview,Android
9881,A,Mobile,Android,Browser,Chrome,97.0.4692.98,1080,2388,1,5,8,2,2,0,2,0,0,Chrome,Android
9882,A,Desktop,Windows NT,Browser,Chrome,117,1260,787,3,4,8,1,2,0,2,0,0,Chrome,Windows NT
9883,B,Desktop,Windows NT,Browser,Chrome,116,1200,675,1,1,8,0,4,3,1,1,0,Chrome,Windows NT
9884,B,Desktop,Mac OS,Browser,Safari,17.0,2304,1296,1,1,8,0,0,0,0,1,0,Safari,Mac OS
9885,B,Desktop,Chrome OS,Browser,Chrome,117,1919,1198,2,2,8,0,1,0,7,0,1,Chrome,Other
9886,A,Desktop,Windows NT,Browser,Chrome,115,2560,1600,3,3,8,5,5,3,0,0,0,Chrome,Windows NT
9887,B,Mobile,Android,Browser Webview,Chrome Webview,117.0.0.0,840,1960,2,2,8,0,4,2,1,0,0,Chrome Webview,Android
9888,B,Desktop,Windows NT,Browser,Opera,95.0.0.0,1600,900,4,4,8,0,2,2,3,0,0,Other,Windows NT
9889,B,Desktop,Mac OS,Browser,Chrome,117,6400,2700,1,2,8,0,3,0,0,1,0,Chrome,Mac OS
9890,B,Mobile,Android,Browser,Chrome,110,720,1640,3,3,8,0,0,2,0,0,0,Chrome,Android
9891,B,Desktop,Mac OS,Browser,Safari,17.1,1284,2778,3,3,8,0,0,0,0,0,0,Safari,Mac OS
9892,A,Tablet,Android,Browser,Chrome,116,1200,2000,3,3,8,3,3,1,0,0,0,Chrome,Android
9893,B,Desktop,Mac OS,Browser,Chrome,110,2560,1440,1,3,8,0,1,2,5,0,0,Chrome,Mac OS
9894,A,Mobile,Android,Browser Webview,Chrome Webview,114.0.5735.196,1080,2406,8,8,8,0,5,0,2,0,0,Chrome Webview,Android
9895,B,Tablet,iOS,Browser,Chrome iOS,117.0.5938.108,1488,2266,2,2,8,0,0,0,0,2,1,Chrome iOS,iOS
9896,A,Mobile,Android,Browser Webview,Chrome Webview,117.0.0.0,720,1545,2,2,8,5,8,0,0,0,0,Chrome Webview,Android
9897,A,Mobile,Android,Browser,Chrome,107,720,1440,6,6,8,1,1,1,3,0,0,Chrome,Android
9898,A,Desktop,Mac OS,Browser,Safari,15.1,2560,1600,3,3,8,0,0,0,0,1,0,Safari,Mac OS
9899,A,Desktop,Windows NT,Browser,Chrome,117,5760,3240,6,6,8,1,3,0,1,0,0,Chrome,Windows NT
9900,B,Mobile,Android,Browser Webview,Chrome Webview,116.0.0.0,1440,2560,1,1,8,0,4,3,1,0,0,Chrome Webview,Android
9901,B,Desktop,Windows NT,Browser,Edge,117,3072,1728,2,5,8,0,7,1,0,0,0,Edge,Windows NT
9902,A,Desktop,Mac OS,Browser,Chrome,117,2624,1696,4,5,8,2,3,0,2,0,0,Chrome,Mac OS
9903,B,Mobile,Android,Browser,Chrome,87.0.4280.141,1080,2403,2,4,8,0,1,1,2,0,0,Chrome,Android
9904,B,Mobile,iOS,Browser,Safari,14.0.1,750,1624,1,1,8,0,0,0,0,0,0,Safari,iOS
9905,B,Mobile,Android,Browser,SamsungBrowser,22.0,679,1738,2,2,7,0,5,0,0,0,0,SamsungBrowser,Android
9906,B,Mobile,Android,Browser Webview,Chrome Webview,115.0.5790.163,720,1520,2,2,7,0,0,5,2,0,0,Chrome Webview,Android
9907,A,Desktop,Ubuntu,Browser,Firefox,118.0,1600,900,2,3,7,1,0,0,0,2,0,Firefox,Other
9908,A,Mobile,Android,Browser,Mi Browser,13.35.0-gn,720,1650,7,7,7,0,0,0,1,0,0,Other,Android
9909,A,Desktop,Mac OS,Browser,Safari,16.4.1,1280,720,1,1,7,0,0,0,0,0,0,Safari,Mac OS
9910,B,Mobile,Android,Browser,Chrome,116,1601,721,5,6,7,0,0,0,0,0,0,Chrome,Android
9911,B,Mobile,Android,Browser Webview,Chrome Webview,113.0.5672.77,1440,2960,1,2,7,0,4,0,3,1,0,Chrome Webview,Android
9912,A,Mobile,Android,Browser,Chrome,107,1080,2460,3,4,7,1,2,1,3,0,0,Chrome,Android
9913,B,Mobile,Android,Browser Webview,Chrome Webview,101.0.4951.61,721,1601,3,3,7,0,0,1,3,0,0,Chrome Webview,Android
9914,A,Mobile,Android,Browser Webview,Chrome Webview,99.0.4844.88,721,1561,6,6,7,0,1,3,1,0,0,Chrome Webview,Android
9915,A,Mobile,Android,Browser,Chrome,72.0.3626.121,720,1520,6,6,7,1,0,0,0,0,0,Chrome,Android
9916,B,Mobile,Android,Browser Webview,Chrome Webview,117.0.0.0,810,1802,7,7,7,0,1,1,0,0,0,Chrome Webview,Android
9917,B,Desktop,Mac OS,Browser,Chrome,110,6400,3600,1,1,7,0,3,1,1,1,0,Chrome,Mac OS
9918,B,Mobile,iOS,Browser,Chrome iOS,115.0.5790.130,640,1136,2,3,7,0,0,0,0,0,0,Chrome iOS,iOS
9919,B,Mobile,Android,Browser Webview,Chrome Webview,114.0.5735.130,1080,2406,2,2,7,0,6,0,1,0,0,Chrome Webview,Android
9920,B,Tablet,iOS,Browser,Chrome iOS,112.0.5615.46,1620,2160,2,2,7,0,0,0,0,0,0,Chrome iOS,iOS
9921,B,Mobile,Android,Browser,SamsungBrowser,22.0,971,2159,4,5,7,0,3,0,4,0,0,SamsungBrowser,Android
9922,A,Desktop,Mac OS,Browser,Firefox,115.0,5120,2880,5,7,7,4,0,0,0,0,0,Firefox,Mac OS
9923,A,Desktop,Windows NT,Mobile App,Chrome Webview,7.0.20.1781,1920,1080,4,4,7,1,2,3,1,2,0,Chrome Webview,Windows NT
9924,A,Mobile,Android,Browser,Chrome,95.0.4638.74,721,1601,5,6,7,1,0,1,3,0,0,Chrome,Android
9925,A,Mobile,Android,Browser,Mi Browser,12.4.3-g,720,1440,5,5,7,1,0,0,0,0,0,Other,Android
9926,B,Desktop,Mac OS,Browser,Safari,15.6.1,1242,2688,2,4,7,0,0,0,0,0,0,Safari,Mac OS
9927,B,Mobile,iOS,Browser,Safari,14.0,1170,2532,5,5,7,0,0,0,0,0,0,Safari,iOS
9928,A,Mobile,Android,Browser Webview,Chrome Webview,99.0.4844.88,1080,2409,5,5,7,2,2,2,1,0,0,Chrome Webview,Android
9929,A,Mobile,Android,Browser,Chrome,80.0.3987.99,721,1480,4,4,7,0,1,4,2,1,0,Chrome,Android
9930,B,Tablet,Android,Browser,Chrome,95.0.4638.74,800,1280,5,5,7,0,1,1,2,1,0,Chrome,Android
9931,B,Mobile,Android,Browser,Chrome,80.0.3987.132,720,1280,1,1,7,0,2,1,0,0,0,Chrome,Android
9932,B,Desktop,Mac OS,Browser,Chrome,117,3225,2015,2,3,7,0,3,2,1,2,0,Chrome,Mac OS
9933,B,Mobile,iOS,Browser,Chrome iOS,106.0.5249.92,1242,2208,2,3,7,0,0,0,0,0,0,Chrome iOS,iOS
9934,B,Tablet,iOS,Browser,Safari,"15.6,2",1488,2266,1,1,7,0,0,0,0,0,0,Safari,iOS
9935,B,Desktop,Windows NT,Browser,Edge,113.0,2736,1824,2,3,7,0,4,1,2,0,0,Edge,Windows NT
9936,A,Mobile,Android,Browser Webview,Chrome Webview,116.0.0.0,1081,1921,5,5,7,2,5,1,0,0,0,Chrome Webview,Android
9937,A,Mobile,Android,Browser,Chrome,114,720,1281,1,1,7,3,0,0,5,0,0,Chrome,Android
9938,A,Mobile,Android,Browser Webview,Chrome Webview,113.0.5672.77,720,1520,2,2,7,5,3,1,3,0,0,Chrome Webview,Android
9939,A,Mobile,iOS,Browser,Mi Browser,13.37.1-gn,1080,2340,1,1,7,4,1,1,5,0,0,Other,iOS
9940,B,Desktop,Mac OS,Browser,Chrome,109,1440,900,3,3,7,0,1,1,3,1,1,Chrome,Mac OS
9941,B,Mobile,Android,Browser Webview,Chrome Webview,110.0.5481.153,1080,2412,5,6,7,0,5,1,1,0,0,Chrome Webview,Android
9942,B,Desktop,Mac OS,Browser,Chrome,117,3696,2310,5,5,7,0,4,0,1,0,0,Chrome,Mac OS
9943,A,Mobile,Android,Browser,Chrome,109,1080,2220,6,5,7,0,4,0,1,0,0,Chrome,Android
9944,B,Mobile,Android,Browser Webview,Chrome Webview,105.0.5195.136,1080,2412,6,6,7,0,3,0,1,0,0,Chrome Webview,Android
9945,A,Mobile,Android,Browser,Chrome,83.0.4103.101,720,1600,5,5,7,2,0,1,2,0,0,Chrome,Android
9946,A,Tablet,Android,Browser,SamsungBrowser,21.0,1200,2001,1,1,7,4,4,0,3,1,1,SamsungBrowser,Android
9947,A,Mobile,Android,Browser,SamsungBrowser,22.0,720,1520,5,6,7,3,0,2,4,0,0,SamsungBrowser,Android
9948,A,Desktop,Windows NT,Browser,Chrome,85.0.4183.121,1280,1024,2,2,7,3,3,2,0,0,0,Chrome,Windows NT
9949,B,Mobile,Android,Browser,Chrome,108,1080,2317,5,5,7,0,2,0,3,0,0,Chrome,Android
9950,A,Mobile,Android,Browser Webview,Chrome Webview,117.0.0.0,721,1441,5,7,7,3,0,1,2,0,0,Chrome Webview,Android
9951,A,Mobile,Android,Browser,Chrome,106,1081,2281,2,2,7,4,5,1,0,0,0,Chrome,Android
9952,A,Mobile,Android,Browser,Chrome,116,1081,2405,3,3,7,3,7,0,0,0,0,Chrome,Android
9953,B,Mobile,Android,Browser Webview,Chrome Webview,113.0.5672.162,1081,2401,6,6,7,0,5,1,1,0,0,Chrome Webview,Android
